year,hosp_male,pop_male,crude_rate_male,asr_male,hosp_female,pop_female,crude_rate_female,asr_female,hosp_total,pop_total,crude_rate_total,asr_total
2019,10219,9424139.0,108.43,87.11,13255,9683077.0,136.89,72.5,23474,19107216.0,122.85,78.95
2020,8651,9599101.0,90.12,70.66,10322,9859209.0,104.69,54.73,18973,19458310.0,97.51,61.66
2021,8576,9708512.0,88.33,67.29,10785,9969851.0,108.18,55.69,19361,19678363.0,98.39,60.94
2022,10170,9782978.0,103.96,76.34,12572,10045585.0,125.15,62.1,22742,19828563.0,114.69,68.45
2023,11298,9848466.0,114.72,81.62,14085,10112423.0,139.28,67.85,25383,19960889.0,127.16,74.08
2024,12819,9910500.0,129.35,88.46,15985,10175877.0,157.09,74.04,28804,20086377.0,143.4,80.43
